¡½,¡D
¥Û¾À,¯î³¥-Ã~¤§®|
00,00,00,00,00,00,00,00,00,00,01,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,01,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,01,01,01,01,01,01,01,01,01,01,01,00,00,00,00,00
00,00,00,00,00,01,00,00,00,00,01,00,00,00,00,01,00,00,00,00,00
00,00,00,00,00,01,00,00,00,00,01,00,00,00,00,01,00,00,00,00,00
00,00,00,00,00,01,00,00,00,00,01,00,00,00,00,01,00,00,00,00,00
00,00,00,00,00,01,00,00,00,00,01,00,00,00,00,01,00,00,00,00,00
00,00,00,00,00,01,00,00,00,00,01,00,00,00,00,01,00,00,00,00,00
00,00,00,00,00,01,00,00,00,00,01,00,00,00,00,01,00,00,00,00,00
00,00,00,00,00,01,00,00,00,00,01,00,00,00,00,01,00,00,00,00,00
00,00,00,00,00,01,00,00,00,00,01,00,00,00,00,01,00,00,00,00,00
00,00,00,00,00,01,01,01,01,01,01,01,01,01,01,01,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,01,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,01,00,00,00,00,00,00,00,00,00,00

