[0m[44;1m¡Ê[0m,[33;44m¢¨[37;40m,[32;42;1m´Ë[0m,[32m¡½[37m,[42;1m©Ð
[0m®ü¬v,®q³ò,´ËªL,¯î®q¤Wªº¤p¸ô,³¥ÆZ¤Hªº¤p«Î
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,00,00
00,00,00,00,00,00,01,01,01,01,00,00,01,01,01,00,00,00,00,00
00,00,01,01,01,01,01,02,02,01,01,00,01,02,02,01,00,00,00,00
00,00,01,02,02,03,02,02,02,02,01,01,01,02,03,01,01,00,00,00
00,00,01,02,02,03,03,03,02,02,02,02,02,03,03,01,01,00,00,00
00,00,00,01,02,02,03,03,02,02,02,02,02,03,02,02,01,00,00,00
00,00,00,01,02,02,02,03,03,02,03,03,03,03,02,02,01,01,00,00
00,00,01,02,04,04,02,02,03,03,03,02,02,02,02,02,02,01,01,00
00,01,02,02,04,03,02,02,03,03,02,02,02,02,03,03,03,01,01,00
00,00,01,02,04,03,03,03,03,03,03,03,03,03,03,04,04,04,01,00
00,00,00,01,02,03,03,02,02,03,03,02,02,02,03,04,04,04,01,00
00,00,00,01,01,02,02,02,02,03,03,02,02,02,02,03,03,01,01,00
00,00,00,00,01,01,02,03,03,03,03,03,03,02,02,02,02,01,00,00
00,00,00,00,01,02,03,03,02,02,02,02,03,03,02,02,01,00,00,00
00,00,00,01,02,03,03,02,01,01,01,02,03,03,02,01,01,00,00,00
00,00,01,02,02,04,04,02,01,00,01,01,02,02,01,01,00,00,00,00
00,00,01,01,01,02,02,01,01,00,00,01,02,02,01,00,00,00,00,00
00,00,00,00,01,01,01,00,00,00,00,00,01,01,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
