[m[33;29m¡½,[1;33;42m©¥[m,[1;32;42m¢þ[40m,[31;42m¡­[37;40m,[m[;29;41m¡¼[m,[m[;32;45m¤Q[m
¥ÛÀð,©¥¥Û,¯ó¦a,¦å¸ñ,°©Às¿ò¬},°©Às§¯Ãú
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,04,04,04,04,04,04,04,00,00,00,00,00,04,04,04,04,04,04,04,05,05,04,04,00
00,04,05,05,05,05,04,04,04,04,04,04,04,04,04,04,04,04,04,05,05,05,05,04,00
00,04,05,05,05,05,04,04,04,00,00,00,04,04,04,04,04,04,05,05,05,05,05,05,00
00,04,05,05,05,05,04,04,00,03,03,00,00,04,04,04,04,04,05,05,05,05,05,05,00
00,04,04,04,04,04,04,00,02,03,02,02,00,04,04,04,04,04,04,05,05,05,05,04,00
00,00,00,04,00,00,00,03,02,03,02,03,00,04,04,04,04,04,04,04,05,05,04,04,00
02,02,02,03,03,02,02,02,03,02,03,02,00,00,00,00,00,00,00,00,00,00,00,00,00
02,03,02,02,03,02,03,03,03,02,03,02,03,02,01,01,02,02,02,03,02,01,02,02,02
03,02,02,02,02,02,02,02,03,02,03,02,02,02,03,02,02,03,02,02,02,02,02,02,02
03,02,02,02,02,02,02,02,03,02,03,02,02,02,03,02,02,03,02,02,02,02,02,02,02
02,02,02,03,02,03,02,03,02,03,03,02,03,01,01,02,02,02,02,03,01,01,03,02,02
03,02,02,02,02,02,02,02,03,02,03,02,02,02,03,02,02,03,02,02,02,02,02,02,02
03,02,02,02,02,02,02,02,03,02,03,02,02,02,03,02,02,03,02,02,02,02,02,02,02
02,02,02,02,02,02,02,02,03,01,03,01,03,01,01,02,02,02,02,01,01,01,02,02,02
02,02,02,01,02,02,02,02,02,02,02,03,02,02,02,02,02,03,03,01,01,02,03,03,02
02,03,03,02,01,03,03,03,03,02,02,02,02,02,02,02,02,03,02,02,02,02,02,02,02
02,03,02,03,02,01,03,02,02,02,03,02,02,02,02,02,02,03,02,03,02,02,02,03,02
02,02,02,02,02,02,03,02,03,02,02,02,02,02,02,02,02,02,02,01,02,01,01,02,02
02,02,02,02,03,02,02,02,02,01,02,01,02,01,03,02,02,03,02,02,02,02,02,02,02
03,02,02,02,02,02,02,02,03,02,03,02,02,02,03,02,02,03,02,02,02,02,02,02,02
02,02,02,01,02,02,02,02,02,02,02,03,02,02,03,02,02,02,03,02,02,02,03,02,02
02,02,02,01,01,02,02,03,02,02,02,03,03,02,02,02,02,02,01,02,01,01,01,02,02
02,02,02,01,01,01,03,03,02,01,01,02,01,01,02,02,02,02,02,02,02,03,02,03,02
03,02,02,02,01,01,03,02,03,02,02,02,02,02,02,02,02,03,02,02,02,02,03,02,02
03,02,02,02,02,02,02,02,03,02,03,02,02,02,03,02,02,03,02,02,02,02,02,02,02
