△,林,■,□,當,㊣,＄,　,★,︻,文,宿,＊,卍,※,田,＆,藥
山,林,水澤,民房,當鋪,商店,錢莊,街道,衙門,橋,學校,宿屋,酒樓,寺廟,山寨,田地,渡口,藥舖
07,07,07,07,07,07,07,07,07,07,07,07,07,07
01,01,01,01,01,01,07,01,01,01,01,01,07,01
00,00,00,00,00,01,07,01,00,00,00,00,07,00
00,00,00,00,00,00,07,00,00,00,00,00,14,00
00,00,00,00,05,00,07,00,00,07,07,00,00,00
13,00,00,03,07,08,07,06,07,03,03,00,00,00
07,00,00,03,03,07,07,07,03,03,00,00,00,00
07,00,11,07,07,07,07,07,07,07,12,00,00,00
02,07,02,16,04,07,07,07,03,03,00,00,00,00
02,02,02,07,07,03,07,03,07,05,03,03,03,00
02,02,02,02,10,07,07,03,05,07,03,03,03,01
02,02,02,02,03,03,07,03,15,15,07,07,07,07
02,02,02,02,03,03,07,03,05,15,17,15,15,01
02,02,02,02,02,02,09,02,02,02,02,02,02,02
