[33m¢i[0m,[0;1;33m¢[1mi[0m
Àð¾À,³q¹D
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,01,01,01,00,01,01,00,00,00,00,00,00,00,00,01,00
00,01,01,01,00,01,01,00,00,00,00,00,00,00,00,01,00
00,01,01,01,00,01,00,00,00,00,00,00,00,00,01,01,00
00,00,01,00,00,01,01,01,00,00,01,01,01,01,01,01,00
00,00,01,01,01,01,00,01,00,00,01,00,00,01,00,00,00
00,00,00,00,00,00,00,01,00,00,01,00,00,01,00,00,00
00,00,00,00,01,01,00,01,00,00,01,01,00,01,00,00,00
00,01,01,01,01,01,01,01,00,00,00,01,00,01,01,00,00
00,01,01,00,01,01,00,00,00,00,00,01,00,00,01,00,00
00,01,00,00,00,00,00,00,00,00,01,01,00,00,01,00,00
00,01,00,00,00,00,00,00,00,00,01,00,00,00,01,00,00
00,01,01,01,00,00,00,01,01,01,01,00,00,00,01,00,00
00,00,00,01,00,00,00,01,00,00,01,00,00,00,01,00,00
00,00,00,01,00,00,01,01,01,01,01,00,00,00,01,00,00
00,00,00,01,01,01,01,00,00,00,01,01,01,01,01,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
